time;nof_ue;dl_brate;ul_brate;proc_rmem;proc_rmem_kB;proc_vmem_kB;sys_mem;system_load;thread_count;cpu_0;cpu_1;cpu_2;cpu_3;cpu_4;cpu_5;cpu_6;cpu_7
226;1;0.0;0.0;4.4;711592;1907212;29;3.9;19;8.9;7.9;7.9;16;13;7.9;7.9;8.9
227;1;0.0;0.0;4.4;711592;1907212;29;4.1;19;10;8.0;15;20;14;9.0;8.0;9.0
228;1;0.0;0.0;4.4;711592;1907212;29;4.0;19;11;9.9;7.9;16;12;5.9;7.9;7.9
229;1;2144.000000;8400.000000;4.4;711592;1907212;29;3.9;19;10;9.0;8.0;17;13;8.0;7.0;8.0
230;1;13408.000000;40248.000000;4.4;711592;1907212;29;4.0;19;10;7.0;9.0;16;12;8.0;7.0;8.0
231;1;150792.000000;294608.000000;4.4;711592;1907212;29;4.4;19;9.9;7.9;7.9;17;13;6.9;8.9;9.9
232;1;37664.000000;77776.000000;4.4;711592;1907212;29;4.0;19;7.9;8.9;7.9;17;13;8.9;7.9;7.9
233;1;4400.000000;25584.000000;4.4;711592;1907212;29;3.9;19;10;9.0;9.0;15;12;6.0;8.0;8.0
234;1;3592.000000;8528.000000;4.4;711592;1907212;29;4.0;19;9.0;9.0;8.0;17;13;7.0;7.0;8.0
235;1;2042.041992;17329.330078;4.4;711592;1907212;29;4.0;19;9.9;7.9;7.9;16;13;8.9;7.9;7.9
236;1;78233.765625;130853.148438;4.4;711592;1907212;29;4.0;19;11;8.0;8.0;17;13;8.0;7.0;9.0
237;1;8216.215820;34386.386719;4.4;711592;1907212;29;3.9;19;10;8.0;8.0;16;12;9.0;9.0;7.0
